07/02/2023 14:00:32:162  INFO - Node Entry | session id:sess4008649 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:00:32:751  INFO - Node Entry | session id:sess4008649 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:00:33:305  INFO - Start | session id:sess4008649 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:00:33:305  INFO - In Progress | session id:sess4008649 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:00:35:410  INFO - Node Entry | session id:sess4008649 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:01:00:641  INFO - Node Entry | session id:sess4008649 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
07/02/2023 14:01:02:763  INFO - Node Entry | session id:sess4008649 | ELibrary:userMenu | Framework | userMenu |  |  | undefined
07/02/2023 14:02:02:636  INFO - Node Entry | session id:sess1241138 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:02:03:002  INFO - Node Entry | session id:sess1241138 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:02:03:216  INFO - Start | session id:sess1241138 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:02:03:216  INFO - In Progress | session id:sess1241138 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:02:05:313  INFO - Node Entry | session id:sess1241138 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:05:39:660  INFO - Node Entry | session id:sess792057 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:05:39:906  INFO - Node Entry | session id:sess792057 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:05:39:994  INFO - Start | session id:sess792057 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:05:39:995  INFO - In Progress | session id:sess792057 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:05:42:124  INFO - Node Entry | session id:sess792057 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:06:05:985  INFO - Node Entry | session id:sess792057 | ELibrary:noMatchDataLangMenu | Framework | noMatchDataLangMenu |  | ^^0
^2
 | undefined
07/02/2023 14:06:06:091  INFO - Node Entry | session id:sess792057 | ELibrary:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2023 14:06:09:320  INFO - Node Entry | session id:sess792057 | ELibrary:ivrInfoData | Framework | ivrInfoData |  | ^^0^0 | undefined
07/02/2023 14:06:09:456  INFO - Node Entry | session id:sess792057 | ELibrary:Exit | Framework | Exit |  |  | undefined
07/02/2023 14:06:09:461  INFO - End | session id:sess792057 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
07/02/2023 14:06:09:461  INFO - Application Exit | session id:sess792057 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
07/02/2023 14:08:49:916  INFO - Node Entry | session id:sess9349184 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:08:50:171  INFO - Node Entry | session id:sess9349184 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:08:50:295  INFO - Start | session id:sess9349184 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:08:50:297  INFO - In Progress | session id:sess9349184 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:08:55:996  INFO - Node Entry | session id:sess9349184 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:09:05:986  INFO - Node Entry | session id:sess9349184 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
07/02/2023 14:09:06:063  INFO - Node Entry | session id:sess9349184 | ELibrary:ivrInfoData | Framework | ivrInfoData |  |  | undefined
07/02/2023 14:09:06:139  INFO - Node Entry | session id:sess9349184 | ELibrary:Exit | Framework | Exit |  |  | undefined
07/02/2023 14:09:06:141  INFO - End | session id:sess9349184 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
07/02/2023 14:09:06:142  INFO - Application Exit | session id:sess9349184 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
07/02/2023 14:12:53:424  INFO - Node Entry | session id:sess1455207 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:12:53:871  INFO - Node Entry | session id:sess1455207 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:12:54:245  INFO - Start | session id:sess1455207 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:12:54:245  INFO - In Progress | session id:sess1455207 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:13:00:037  INFO - Node Entry | session id:sess1455207 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:13:10:149  INFO - Node Entry | session id:sess1455207 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
07/02/2023 14:13:10:356  INFO - Node Entry | session id:sess1455207 | ELibrary:userMenu | Framework | userMenu |  |  | undefined
07/02/2023 14:14:20:093  INFO - Node Entry | session id:sess1455207 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
07/02/2023 14:14:20:155  INFO - Node Entry | session id:sess1455207 | ELibrary:ivrInfoData | Framework | ivrInfoData |  |  | undefined
07/02/2023 14:14:20:230  INFO - Node Entry | session id:sess1455207 | ELibrary:Exit | Framework | Exit |  |  | undefined
07/02/2023 14:14:20:232  INFO - End | session id:sess1455207 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
07/02/2023 14:14:20:232  INFO - Application Exit | session id:sess1455207 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
07/02/2023 14:56:10:645  INFO - Node Entry | session id:sess4729369 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 14:56:10:877  INFO - Node Entry | session id:sess4729369 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 14:56:10:975  INFO - Start | session id:sess4729369 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 14:56:10:975  INFO - In Progress | session id:sess4729369 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 14:56:16:538  INFO - Node Entry | session id:sess4729369 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 14:56:23:953  INFO - Node Entry | session id:sess4729369 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 2^0.949999988079071^0^0 | undefined
07/02/2023 14:56:24:200  INFO - Node Entry | session id:sess4729369 | ELibrary:userMenu | Framework | userMenu |  |  | undefined
07/02/2023 14:56:39:039  INFO - Node Entry | session id:sess4729369 | ELibrary:existUserAnnounce | Framework | existUserAnnounce | userMenu___utterance | 1^0.949999988079071^0^0 | undefined
07/02/2023 14:56:41:594  INFO - Node Entry | session id:sess4729369 | ELibrary:AgentTranfer | Framework | AgentTranfer |  |  | undefined
07/02/2023 14:56:41:655  INFO - Node Entry | session id:sess4729369 | ELibrary:agentTransfer-Begin | Framework | agentTransfer-Begin |  |  | undefined
07/02/2023 14:56:41:732  INFO - Node Entry | session id:sess4729369 | ELibrary:agentTransfer-AgentTransferAnnounce | Framework | agentTransfer-AgentTransferAnnounce |  |  | undefined
07/02/2023 14:56:42:287  INFO - Node Entry | session id:sess4729369 | ELibrary:agentTransfer-returnToMain | Framework | agentTransfer-returnToMain |  |  | undefined
07/02/2023 14:56:42:349  INFO - Node Entry | session id:sess4729369 | ELibrary:CallDisconnect | Framework | CallDisconnect |  |  | undefined
07/02/2023 14:57:18:448  INFO - Node Entry | session id:sess4729369 | ELibrary:ivrInfoData | Framework | ivrInfoData |  | ^^0^0 | undefined
07/02/2023 14:57:18:681  INFO - Node Entry | session id:sess4729369 | ELibrary:Exit | Framework | Exit |  |  | undefined
07/02/2023 14:57:18:700  INFO - End | session id:sess4729369 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
07/02/2023 14:57:18:701  INFO - Application Exit | session id:sess4729369 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
07/02/2023 15:00:51:822  INFO - Node Entry | session id:sess143180 | ELibrary:Start | Framework | Start |  |  | 
07/02/2023 15:00:52:068  INFO - Node Entry | session id:sess143180 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
07/02/2023 15:00:52:194  INFO - Start | session id:sess143180 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
07/02/2023 15:00:52:194  INFO - In Progress | session id:sess143180 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
07/02/2023 15:00:57:731  INFO - Node Entry | session id:sess143180 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
07/02/2023 15:01:02:070  INFO - Node Entry | session id:sess143180 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
07/02/2023 15:01:02:146  INFO - Node Entry | session id:sess143180 | ELibrary:userMenu | Framework | userMenu |  |  | undefined
07/02/2023 15:01:12:673  INFO - Node Entry | session id:sess143180 | ELibrary:existUserAnnounce | Framework | existUserAnnounce | userMenu___utterance | 1^0.949999988079071^0^0 | undefined
