15/02/2023 10:27:58:418  INFO - Node Entry | session id:sess2942493 | ElibraryFlows:Start | Framework | Start |  |  | 
15/02/2023 10:27:58:656  INFO - Node Entry | session id:sess2942493 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
15/02/2023 10:27:58:764  INFO - Start | session id:sess2942493 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/02/2023 10:27:58:764  INFO - In Progress | session id:sess2942493 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/02/2023 10:28:13:854  INFO - Node Entry | session id:sess2942493 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
15/02/2023 10:29:21:666  INFO - Node Entry | session id:sess2473653 | ElibraryFlows:Start | Framework | Start |  |  | 
15/02/2023 10:29:21:922  INFO - Node Entry | session id:sess2473653 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
15/02/2023 10:29:22:003  INFO - Start | session id:sess2473653 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/02/2023 10:29:22:004  INFO - In Progress | session id:sess2473653 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/02/2023 10:29:37:073  INFO - Node Entry | session id:sess2473653 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
15/02/2023 11:10:04:671  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:Start | Framework | Start |  |  | 
15/02/2023 11:10:04:861  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
15/02/2023 11:10:04:973  INFO - Start | session id:sess4479945 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/02/2023 11:10:04:973  INFO - In Progress | session id:sess4479945 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/02/2023 11:10:10:469  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
15/02/2023 11:10:17:466  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:hangupData | Framework | hangupData |  |  | undefined
15/02/2023 11:10:17:529  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  |  | undefined
15/02/2023 11:10:18:526  INFO - Node Entry | session id:sess4479945 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
15/02/2023 11:10:18:529  INFO - End | session id:sess4479945 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
15/02/2023 11:10:18:529  INFO - Application Exit | session id:sess4479945 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
15/02/2023 11:54:20:978  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:Start | Framework | Start |  |  | 
15/02/2023 11:54:21:190  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
15/02/2023 11:54:21:268  INFO - Start | session id:sess6903522 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/02/2023 11:54:21:268  INFO - In Progress | session id:sess6903522 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/02/2023 11:54:26:766  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
15/02/2023 11:54:54:118  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
15/02/2023 11:54:54:211  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:userMenu | Framework | userMenu |  |  | undefined
15/02/2023 11:55:04:718  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:CallEnd | Framework | CallEnd |  |  | undefined
15/02/2023 11:55:04:795  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:CallDisconnect | Framework | CallDisconnect |  |  | undefined
15/02/2023 11:55:08:425  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  | ^^0^0 | undefined
15/02/2023 11:55:09:359  INFO - Node Entry | session id:sess6903522 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
15/02/2023 11:55:09:361  INFO - End | session id:sess6903522 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
15/02/2023 11:55:09:361  INFO - Application Exit | session id:sess6903522 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
15/02/2023 12:13:46:929  INFO - Node Entry | session id:sess4186265 | ElibraryFlows:Start | Framework | Start |  |  | 
15/02/2023 12:13:47:155  INFO - Node Entry | session id:sess4186265 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
15/02/2023 12:13:47:242  INFO - Start | session id:sess4186265 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
15/02/2023 12:13:47:242  INFO - In Progress | session id:sess4186265 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
15/02/2023 12:13:52:726  INFO - Node Entry | session id:sess4186265 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
