03/02/2023 11:57:31:152  INFO - Node Entry | session id:sess1385324 | ELibrary:Start | Framework | Start |  |  | 
03/02/2023 11:57:31:740  INFO - Node Entry | session id:sess1385324 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
03/02/2023 11:57:32:087  INFO - Start | session id:sess1385324 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
03/02/2023 11:57:32:087  INFO - In Progress | session id:sess1385324 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
03/02/2023 11:57:37:988  INFO - Node Entry | session id:sess1385324 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
03/02/2023 11:57:47:159  INFO - Node Entry | session id:sess1385324 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 1^0.949999988079071^0^0 | undefined
03/02/2023 11:57:47:251  INFO - Node Entry | session id:sess1385324 | ELibrary:userMenu | Framework | userMenu |  |  | undefined
03/02/2023 11:57:57:324  INFO - Node Entry | session id:sess1385324 | ELibrary:hangupData | Framework | hangupData |  |  | undefined
03/02/2023 11:57:57:386  INFO - Node Entry | session id:sess1385324 | ELibrary:ivrInfoData | Framework | ivrInfoData |  |  | undefined
03/02/2023 11:57:57:516  INFO - Node Entry | session id:sess1385324 | ELibrary:Exit | Framework | Exit |  |  | undefined
03/02/2023 11:57:57:520  INFO - End | session id:sess1385324 | ELibrary:Exit | CallEnd | Call End here |  |  | undefined
03/02/2023 11:57:57:521  INFO - Application Exit | session id:sess1385324 | ELibrary:Exit | Framework | Application Exiting |  |  | undefined
03/02/2023 11:58:20:112  INFO - Node Entry | session id:sess1005370 | ELibrary:Start | Framework | Start |  |  | 
03/02/2023 11:58:20:233  INFO - Node Entry | session id:sess1005370 | ELibrary:Welcome | Framework | Welcome |  |  | undefined
03/02/2023 11:58:20:235  INFO - Start | session id:sess1005370 | ELibrary:Welcome | wecome start | Welcome Announcement start |  |  | undefined
03/02/2023 11:58:20:236  INFO - In Progress | session id:sess1005370 | ELibrary:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
03/02/2023 11:58:25:702  INFO - Node Entry | session id:sess1005370 | ELibrary:langMenu | Framework | langMenu |  |  | undefined
03/02/2023 11:58:35:083  INFO - Node Entry | session id:sess1005370 | ELibrary:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 2^0.949999988079071^0^0 | undefined
