13/02/2023 10:47:21:993  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:Start | Framework | Start |  |  | 
13/02/2023 10:47:22:189  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
13/02/2023 10:47:22:266  INFO - Start | session id:sess3332074 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
13/02/2023 10:47:22:266  INFO - In Progress | session id:sess3332074 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
13/02/2023 10:47:24:420  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
13/02/2023 10:47:30:638  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:hangupData | Framework | hangupData |  |  | undefined
13/02/2023 10:47:30:701  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  |  | undefined
13/02/2023 10:47:30:763  INFO - Node Entry | session id:sess3332074 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
13/02/2023 10:47:30:765  INFO - End | session id:sess3332074 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
13/02/2023 10:47:30:765  INFO - Application Exit | session id:sess3332074 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
13/02/2023 10:49:04:487  INFO - Node Entry | session id:sess6204594 | ElibraryFlows:Start | Framework | Start |  |  | 
13/02/2023 10:49:04:688  INFO - Node Entry | session id:sess6204594 | ElibraryFlows:Welcome | Framework | Welcome |  |  | undefined
13/02/2023 10:49:04:766  INFO - Start | session id:sess6204594 | ElibraryFlows:Welcome | wecome start | Welcome Announcement start |  |  | undefined
13/02/2023 10:49:04:766  INFO - In Progress | session id:sess6204594 | ElibraryFlows:Welcome | Welcome | Welcome Announcement Stop |  |  | undefined
13/02/2023 10:49:10:334  INFO - Node Entry | session id:sess6204594 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
